BAMid,Approach Vertical,Vertical Jump,3/4 Court sprint  ,4-Way agility,Reaction Shuttle,BAMScore,Wingspan,Reach,Height,Weight,Body Comp,Hand Width,approach_vertical_rank,vertical_jump_rank,reaction_shuttle_rank,bam_score_rank,wingspan_rank,reach_rank,height_rank,weight_rank,body_comp_rank,hand_width_rank,fourway_rank,courtsprint_rank
745,37.0,28.0,3.211,11.978,3.113,2069.0,81.5,101.0,76.0,169.6,15.4,9.25,5,4,2,5,4,4,4,3,4,4,3,3
814,32.0,25.0,3.565,12.391,3.202,1906.0,78.0,100.0,76.0,207.0,14.2,8.75,4,3,2,4,3,4,4,4,3,3,4,4
834,26.0,21.0,3.72,14.684,4.016,1461.0,84.5,107.5,82.0,278.4,31.3,10.25,2,2,5,1,5,5,5,5,5,5,5,4
503,,23.0,3.565,12.504,3.336,1810.0,81.5,102.0,78.5,196.0,11.0,9.5,1,3,3,3,4,4,4,4,3,4,4,4
1015,30.5,27.0,3.598,12.957,3.204,1870.0,84.0,109.0,84.5,209.0,12.8,9.25,3,4,2,3,5,5,5,4,3,4,5,4
1370,38.5,31.0,3.317,11.5159999999999,3.473,2048.0,81.5,99.5,75.5,182.0,22.8,8.0,5,5,3,5,4,4,4,4,5,2,2,3
901,35.0,27.0,3.472,11.944,3.567,1931.0,77.5,96.0,74.0,180.0,10.7,9.5,4,4,4,4,3,3,3,3,3,4,3,4
1217,,31.0,3.194,12.04,3.28899999999999,2014.0,78.0,100.5,78.0,167.8,15.3,8.75,1,5,3,4,3,4,4,3,4,3,3,3
1359,41.5,35.0,3.64,13.76,3.64,1854.0,68.5,87.5,67.0,163.6,23.7,7.75,5,5,4,3,2,2,2,3,5,2,5,4
486,35.0,27.0,3.265,12.154,3.317,2000.0,79.25,99.0,75.0,204.2,13.6,8.5,4,4,3,4,4,4,3,4,3,3,3,3
429,22.0,18.5,3.555,12.841,3.511,1686.0,80.0,103.0,78.0,183.9,16.2,9.25,1,1,4,2,4,4,4,4,4,4,4,4
1000,33.5,28.0,3.215,10.898,3.65,2025.0,76.0,96.0,74.5,170.4,15.0,8.25,4,4,4,4,3,3,3,3,4,3,1,3
646,32.5,24.5,3.473,13.137,3.607,1808.0,81.0,104.5,79.5,202.0,21.0,8.75,4,3,4,3,4,4,4,4,5,3,5,4
411,33.0,26.5,3.487,12.444,3.346,1915.0,79.0,102.5,77.5,176.0,6.8,9.25,4,4,3,4,4,4,4,3,2,4,4,4
758,29.5,25.5,3.812,12.055,3.508,1811.0,75.25,95.0,72.5,154.4,11.7,8.5,3,3,4,3,3,3,3,3,3,3,3,5
1025,32.0,27.5,3.361,12.428,3.427,1927.0,78.5,102.0,78.0,217.0,23.3,9.75,4,4,3,4,4,4,4,5,5,5,4,3
474,35.0,28.5,3.339,11.437,3.307,2044.0,77.0,97.0,74.5,200.9,24.2,8.5,4,4,3,5,3,3,3,4,5,3,2,3
952,35.5,30.5,3.183,11.849,3.351,2056.0,78.0,97.0,72.0,161.5,13.7,8.5,5,5,3,5,3,3,3,3,3,3,3,3
1384,39.5,31.5,3.328,11.855,3.308,2064.0,81.0,100.5,74.0,174.2,6.2,9.5,5,5,3,5,4,4,3,3,2,4,3,3
951,36.0,27.5,3.305,11.816,3.484,1995.0,75.0,94.5,69.0,143.8,12.8,8.0,5,4,3,4,3,3,2,2,3,2,3,3
426,28.0,25.5,3.386,12.06,3.322,1918.0,80.5,105.5,81.0,202.2,8.5,9.0,2,3,3,4,4,5,5,4,2,4,3,3
567,38.0,30.0,3.342,12.207,3.577,1976.0,75.0,95.0,71.5,159.0,6.4,9.5,5,5,4,4,3,3,3,3,2,4,3,3
588,34.5,26.5,,12.004,3.44,1964.0,72.0,90.5,67.5,147.8,14.4,8.5,4,4,3,4,2,2,2,2,3,3,3,1
1235,35.0,30.5,3.376,11.8509999999999,3.569,1981.0,82.0,101.0,76.0,188.2,16.9,9.5,4,5,4,4,4,4,4,4,4,4,3,3
1325,32.0,28.0,3.203,12.454,3.109,2014.0,76.5,98.5,75.5,200.0,18.7,8.5,4,4,2,4,3,3,4,4,4,3,4,3
945,31.5,22.0,3.59,12.068,3.689,1799.0,80.0,103.5,80.0,206.9,10.9,9.25,3,2,4,3,4,4,4,4,3,4,3,4
214,29.0,24.0,3.599,12.359,3.07,1892.0,79.5,99.0,75.0,179.2,16.8,9.75,3,3,2,4,4,4,3,3,4,5,4,4
1510,34.0,28.5,,12.261,3.35399999999999,1976.0,86.0,105.5,78.0,195.8,16.5,9.25,4,4,3,4,5,5,4,4,4,4,4,1
224,28.5,23.5,3.66,12.918,3.297,1800.0,77.0,101.5,77.0,165.0,17.1,9.0,3,3,3,3,3,4,4,3,4,4,5,4
1194,30.5,27.0,3.509,11.711,3.109,1977.0,74.0,95.5,74.5,158.0,11.6,8.75,3,4,2,4,3,3,3,3,3,3,3,4
731,33.5,27.0,6.25,11.548,3.131,2086.0,76.0,94.5,73.5,167.1,14.5,8.75,4,4,2,5,3,3,3,3,3,3,2,5
1165,34.0,27.5,3.349,12.102,3.218,2000.0,77.5,102.0,76.5,169.0,12.5,9.25,4,4,2,4,3,4,4,3,3,4,3,3
206,35.5,27.0,,,,2152.0,,,,,,,5,4,1,5,1,1,1,1,1,1,1,1
717,34.0,27.5,3.371,11.999,3.007,2036.0,83.0,105.5,78.0,191.0,8.9,9.5,4,4,2,5,4,5,4,4,3,4,3,3
371,,,3.476,12.7809999999999,3.646,1677.0,87.0,109.0,80.5,193.9,22.3,10.25,1,1,4,2,5,5,5,4,5,5,4,4
1331,34.5,29.5,3.053,11.036,3.094,2167.0,76.5,98.0,74.0,160.0,10.8,9.25,4,5,2,5,3,3,3,3,3,4,2,2
554,33.0,29.0,3.072,11.46,3.29399999999999,2090.0,,,,,,,4,5,3,5,1,1,1,1,1,1,2,2
